Test,N,Time
neopt,200,0.102937
neopt,400,0.856728
neopt,800,6.579971
neopt,1200,21.344656
neopt,1600,75.930847
neopt,2000,153.661499
opt_m,200,0.012764
opt_m,400,0.100191
opt_m,800,0.811892
opt_m,1200,2.666127
opt_m,1600,6.171016
opt_m,2000,12.594501
blas,200,0.003473
blas,400,0.004201
blas,800,0.026538
blas,1200,0.078421
blas,1600,0.180570
blas,2000,0.343602
ucsx_neopt,200,0.056003
ucsx_neopt,400,0.459182
ucsx_neopt,800,3.747211
ucsx_neopt,1200,12.550152
ucsx_neopt,1600,29.899176
ucsx_neopt,2000,61.394600
ucsx_opt_m,200,0.010826
ucsx_opt_m,400,0.082360
ucsx_opt_m,800,0.699464
ucsx_opt_m,1200,2.194685
ucsx_opt_m,1600,5.176343
ucsx_opt_m,2000,11.197453
ucsx_blas,200,0.002573
ucsx_blas,400,0.002738
ucsx_blas,800,0.015931
ucsx_blas,1200,0.046476
ucsx_blas,1600,0.104800
ucsx_blas,2000,0.196122
